"2004","Anna Zamecka"
"5026","Anne Berest"
"4389","Anne Bjørnstad"
"235","Anne Fletcher"
"698","Anne Fontaine"
"2572","Anne Zohra Berrached"
"2855","Annette Haywood-Carter"
"4951","Annie Brunner"
"5020","Annie Weisman"
"2822","Anno Saul"
"5202","Antarès Bassis"
"3014","Anthony Bell"
"4084","Anthony Cipriano"
"2582","Anthony DiBlasi"
"2275","Anthony Harvey"
"2707","Anthony Hemingway"
"3518","Anthony Hickox"
"4822","Anthony Horowitz"
"4943","Anthony Leo"
"3763","Anthony Leonardi"
"3730","Anthony Lucas"
"1270","Anthony Mann"
"2403","Anthony Marciano"
"5337","Anthony Marriott"
"406","Anthony Minghella"
"225","Anthony Russo"
"4481","Anthony Salter"
"3017","Anthony Silverston"
"1874","Anthony Stacchi"
"5232","Anthony Wilson"
"4175","Anthony Yerkovich"
"175","Antoine Fuqua"
"3906","Antoine Thomas"
"1832","Anton Bormatov"
"671","Anton Corbijn"
"1925","Anton Megerdichev"
"653","Antoni Krauze"
"2795","Antonia Bird"
"3007","Antonio Campos"
"4336","Antonio Le Fosse"
"1865","Antonio Mercero"
"2959","Antonio Naharro"
"3296","Antonio Negret"
"1862","Antony Hoffman"
"5272","Antony Jay"
"2343","Antti Jokinen"
"2531","Antti-Jussi Annila"
"2219","Apichatpong Weerasethakul"
"4398","April Blair"
"3347","Aram Rappaport"
"660","Ari Aster"
"827","Ari Folman"
"758","Ari Sandel"
"4223","Ari Schlossberg"
"4985","Ariane Desrieux"
"3030","Arie Posin"
"930","Ariel Vromen"
"2840","Ariel Zeïtoun"
"1374","Arkadiusz Jakubik"
"1532","Armando Iannucci"
"3606","Arnaud Desplechin"
"1775","Arne Glimcher"
"5113","Arne Nolting"
"3150","Arno Hagers"
"4502","Aron Eli Coleite"
"2609","Art Linson"
"3024","Art Vitello"
"3353","Arthur Allan Seidelman"
"3032","Arthur Benzaquen"
"1235","Arthur Hiller"
"768","Arthur Penn"
"2982","Arthur Qwak"
"3132","Arthur Rankin Jr."
"2681","Artur Więcek"
"5011","Asaph Fipke"
"5374","Aseem Batra"
"670","Asger Leth"
"586","Asghar Farhadi"
"3744","Ash Avildsen"
"587","Ash Brannon"
"4580","Ashley Pharoah"
"2908","Ashutosh Gowariker"
"2354","Asia Argento"
"610","Asif Kapadia"
"2429","Assaf Bernstein"
"2132","Athina Rachel Tsangari"
"733","Atom Egoyan"
"4881","Atsuhiro Tomioka"
"2234","Audrey Dana"
"3898","Audrey Estrougo"
"4625","Audrey Fouché"
"990","Audrey Wells"
"5199","Aurélien Molas"
"2032","Autumn de Wilde"
"791","Ava DuVernay"
"4358","Avi Issacharoff"
"4222","Aziz Ansari"
"3673","Aziz Mirza"
"3400","Babak Anvari"
"775","Babak Najafi"
"2950","Bahman Ghobadi"
"1890","Baillie Walsh"
"3905","Baldvin Zophoníasson"
"272","Baltasar Kormákur"
"786","Banjong Pisanthanakun"
"747","Banksy"
"551","Baran bo Odar"
"613","Barbara Białowąs"
"4562","Barbara Hall"
"2702","Barbara Kopple"
"3457","Barbara Leibovitz"
"2174","Barbara Topsøe-Rothenborg"
"5208","Barbara Wiechmann"
"1076","Barbet Schroeder"
"5271","Barbie Adler"
"2542","Barbra Streisand"
"2398","Barry Battles"
"390","Barry Cook"
"263","Barry Jenkins"
"121","Barry Levinson"
"5334","Barry Schindel"
"1442","Barry Skolnick"
"141","Barry Sonnenfeld"
"3338","Barry W. Blaustein"
"1138","Bart Freundlich"
"2427","Bart Layton"
"1205","Bartłomiej Ignaciuk"
"5012","Barton Dean"
"1907","Bartosz Kędzierski"
"868","Bartosz Konopka"
"2357","Bartosz Kruhlik"
"1721","Bartosz Kulas"
"798","Bartosz M. Kowalski"
"777","Bartosz Prokopowicz"
"1728","Bartosz Walaszek"
"4956","Bathsheba Doran"
"97","Baz Luhrmann"
"3261","Beata Dzianowicz"
"2860","Beata Gårdeler"
"4205","Beata Pasek"
"5284","Beatrice Valsecchi"
"4045","Beau Willimon"
"4859","Bede Blake"
"398","Beeban Kidron"
"1415","Béla Tarr"
"5215","Belinda Chayko"
"256","Ben Affleck"
"2732","Ben C. Lucas"
"1604","Ben Drew"
"4289","Ben Elton"
"1478","Ben Falcone"
"2188","Ben Hopkins"
"2156","Ben Howling"
"4664","Ben Ketai"
"1312","Ben Lewin"
"2251","Ben Palmer"
"4540","Ben Queen"
"2020","Ben Ramsey"
"1440","Ben Sharpsteen"
"2961","Ben Stassen"
"357","Ben Stiller"
"821","Ben Wheatley"
"4283","Ben York Jones"
"2246","Ben Young"
"1328","Ben Younger"
"1599","Benedek Fliegauf"
"3780","Benedict Andrews"
"2186","Benedikt Erlingsson"
"1010","Benh Zeitlin"
"3737","Benjamin Arfmann"
"4421","Benjamin Bocquelet"
"3254","Benjamin Brewer"
"4564","Benjamin Cavell"
"2259","Benjamin Christensen"
"4015","Benjamin Cleary"
"2726","Benjamin Dickinson"
"4962","Benjamin Dupas"
"4000","Benjamin Epps"
"5178","Benjamin Gutsche"
"4397","Benjamin Ross"
"2500","Benjamin Turner"
"480","Bennett Miller"
"2771","Benny Boom"
"2770","Benny Chan"
"3292","Benny Fine"
"1657","Benny Safdie"
"2842","Benoît Jacquot"
"3013","Benoît Philippon"
"2610","Benson Lee"
"2089","Bent Hamer"
"1338","Bernard Queysanne"
"2013","Bernard Rose"
"4545","Bernard Vaillot"
"460","Bernardo Bertolucci"
"3263","Bernie Goldmann"
"2981","Bert Marcus"
"2865","Bertrand Blier"
"1814","Bertrand Bonello"
"3493","Bertrand Tavernier"
"5062","Betsy Thomas"
"967","Betty Thomas"
"5036","Bevan Lee"
"1674","Bharat Nalluri"
"722","Bibo Bergeron"
"2815","Bigas Luna"
"4331","Bill Burr"
"4787","Bill Chais"
"270","Bill Condon"
"4096","Bill Dubuque"
"1556","Bill Duke"
"3809","Bill Forsyth"
"4439","Bill Gallagher"
"4282","Bill Hader"
"1446","Bill Holderman"
"5363","Bill Kopp"
"4099","Bill Lawrence"
"3042","Bill Maher"
"5041","Bill Motz"
"1489","Bill Paxton"
"2647","Bill Pohlad"
"3036","Bill Purple"
"702","Bille August"
"976","Bille Woodruff"
"2298","Billy Bob Thornton"
"1389","Billy Corben"
"1137","Billy Ray"
"325","Billy Wilder"
"1658","Bing Liu"
"4617","Binnur Karaevli"
"1268","Björn Runge"
"828","Björn Stein"
"2484","Blair Hayes"
"4593","Blake Anderson"
"4438","Blake Crouch"
"180","Blake Edwards"
"2660","Bo Burnham"
"3294","Bo Welch"
"3660","Bo Zenga"
"983","Boaz Yakin"
"3987","Bob Balaban"
"3844","Bob Clark"
"5244","Bob Daily"
"3908","Bob Dolman"
"4839","Bob Fisher"
"641","Bob Fosse"
"1595","Bob Gale"
"4526","Bob Kane"
"2649","Bob Logan"
"2883","Bob Odenkirk"
"665","Bob Persichetti"
"1494","Bob Rafelson"
"5252","Bob Shayne"
"5227","Bob Young"
"136","Bobby Farrelly"
"2249","Bobby Garabedian"
"5089","Bobby Mort"
"1650","Bobcat Goldthwait"
"710","Bodo Kox"
"1845","Bogusław Linda"
"2380","Bohdan Poręba"
"3742","Bohdan Sláma"
"3757","Bonnie Hunt"
"1910","Boots Riley"
"2468","Bora Dagtekin"
"3736","Boris Damast"
"487","Borys Lankosz"
"179","Brad Anderson"
"172","Brad Bird"
"4098","Brad Falchuk"
"527","Brad Furman"
"5209","Brad Graeber"
"3146","Brad Isaacs"
"900","Brad Lewis"
"3020","Brad McGann"
"678","Brad Peyton"
"269","Brad Silberling"
"4895","Brad Simpson"
"4310","Brad Wright"
"4275","Bradley Bredeweg"
"218","Bradley Cooper"
"2105","Bradley King"
"932","Bradley Parker"
"3996","Bradley Raymond"
"3217","Bradley Walsh"
"1196","Brady Corbet"
"4781","Bragi F. Schut"
"1937","Brandon Camp"
"3231","Brandon Cronenberg"
"4857","Brandon Margolis"
"3100","Brandon Oldenburg"
"4195","Brannon Braga"
"595","Breck Eisner"
"4365","Breckin Meyer"
"4303","Brenda Hampton"
"3433","Brendan Malloy"
"1842","Brent Bonacorso"
"5345","Brett Dewey"
"4014","Brett Haley"
"4208","Brett Johnson"
"2557","Brett Leonard"
"1693","Brett Morgen"
"102","Brett Ratner"
"2620","Brett Simon"
"2905","Brian A Miller"
"5256","Brian Cosgrove"
"2619","Brian Dannelly"
"55","Brian De Palma"
"1940","Brian DeCubellis"
"1220","Brian Fee"
"1025","Brian G. Hutton"
"4695","Brian Gatewood"
"2993","Brian Gibson"
"2079","Brian Gilbert"
"2029","Brian Goodman"
"4843","Brian Gunn"
"394","Brian Helgeland"
"2929","Brian Henson"
"4009","Brian Herzlinger"
"4113","Brian K. Vaughan"
"553","Brian Klugman"
"3702","Brian Knappenberger"
"1317","Brian Levant"
"3321","Brian McGinn"
"4505","Brian McGreevy"
"2297","Brian O'Malley"
"375","Brian Percival"
"2684","Brian Pimental"
"1111","Brian Robbins"
"5221","Brian Rousso"
"3587","Brian Smrz"
"3422","Brian Taylor"
"3786","Brian Trenchard-Smith"
"2519","Brian W. Cook"
"4442","Brian Wood"
"4057","Brian Yorkey"
"3970","Brian Yuzna"
"4932","Bridget Dobson"
"2507","Brie Larson"
"1296","Brin Hill"
"4803","Britt Allcroft"
"1582","Bronwen Hughes"
"744","Bruce A. Evans"
"607","Bruce Beresford"
"4304","Bruce Helford"
"2113","Bruce Hunt"
"3709","Bruce Joel Rubin"
"3638","Bruce La Bruce"
"2331","Bruce Lee"
"3889","Bruce MacDonald"
"2277","Bruce Malmuth"
"2661","Bruce McDonald"
"766","Bruce Parramore"
"437","Bruce Robinson"
"1361","Bruno Barreto"
"4800","Bruno Dega"
"2255","Bruno Dumont"
"4076","Bruno Heller"
"3325","Bruno Mattei"
"3629","Bruno Nuytten"
"980","Bryan Bertino"
"3876","Bryan Buckley"
"1387","Bryan Fogel"
"2737","Bryan Forbes"
"4105","Bryan Fuller"
"4173","Bryan Konietzko"
"4683","Bryan Moore"
"163","Bryan Singer"
"1857","Buddy Van Horn"
"3114","Burny Mattinson"
"596","Burr Steers"
"5185","Burton Armus"
"2285","Buster Keaton"
"4523","Butch Hartman"
"144","Byron Howard"
"5270","C.H. Greenblatt"
"3124","Cal Brunker"
"3194","Calin Peter Netzer"
"2784","Callie Khouri"
"273","Cameron Crowe"
"4351","Cameron Porsandeh"
"1378","Camille Delamarre"
"1384","Caradog W. James"
"3271","Carl Bessai"
"1886","Carl Franklin"
"589","Carl Rinsch"
"1792","Carl Theodor Dreyer"
"1941","Carla Simón"
"4052","Carlo Bernard"
"2687","Carlo Ledesma"
"2928","Carlos Carrera"
"3464","Carlos López Estrada"
"2653","Carlos Marqués-Marcet"
"4136","Carlos Montero"
"3053","Carlos Reygadas"
"302","Carlos Saldanha"
"1050","Carlos Saura"
"1916","Carlos Vermut"
"5255","Carlotta Ercolino"
"4204","Carlton Cuse"
"4190","Carol Black"
"5096","Carol Hay"
"3926","Carol Morley"
"1588","Carol Reed"
"5148","Carolina Espada"
"4534","Caroline Dries"
"3490","Caroline Labrèche"
"3401","Caroline Link"
"2101","Caroline Thompson"
"4047","Carter Bays"
"4211","Carter Covington"
"1731","Carter Smith"
"654","Cary Joji Fukunaga"
"2238","Casey Affleck"
"4915","Casey Johnson"
"3740","Casey La Scala"
"2602","Cate Shortland"
"105","Catherine Hardwicke"
"4509","Catherine Reitman"
"876","Cathy Yan"
"3300","Cecil B. DeMille"
"1458","Cédric Jimenez"
"1434","Cédric Klapisch"
